"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(AVAX)","Value_OUT(AVAX)","CurrentValue @ $37.0419499486987/AVAX","TxnFee(AVAX)","TxnFee(USD)","Historical $Price/AVAX","Status","ErrCode","Method"
"0xc8a9a27da5cfd4840e2d11ef9deafcabf15238e410f74eea1650863f26d7adaf","37292540","1699034495","2023-11-03 18:01:35","0xb8defd92a3e6e1c930b85a02af1024f5defe11b1","0x222222237c401664d14c615d53e2500d12540d17","","9.205492192076236529","0","340.989381032025","0.0005565","0.0206138451464508","12.11","","","Transfer"
"0xac52773c090256a3173d738ad145a178a3725871539aa069b319806073c66fef","37292993","1699035456","2023-11-03 18:17:36","0x1234e2efbcb9dbc0a1f61e16440d1131735efb7f","0x222222237c401664d14c615d53e2500d12540d17","","15.532639677166860677","0","575.359261492786","0.0005565","0.0206138451464508","12.11","","","Transfer"
"0xf28e99de340eb3c88ab804c6064861e6ca60d2a558381b53641b046968590df6","37336628","1699124773","2023-11-04 19:06:13","0x07fbf09996768e2e25ba051b415e8ec8d8e7cd54","0x222222237c401664d14c615d53e2500d12540d17","","0.065308120674335217","0","2.4191401372623","0.000525","0.0194470237230668","12.22","","","Transfer"
"0xe09c03cef70969fe67a0f995541b3fc351a4c5106fbc24e66d727b83e53ba8db","37423601","1699301710","2023-11-06 20:15:10","0x222222237c401664d14c615d53e2500d12540d17","0x221e25ad7373fbaf33c7078b8666816586222a09","","0","0.003305785123966942","0.122452727103136","0.0005565","0.0206138451464508","13.08","","","Transfer"
"0x580271c3ca706e5c065217917b04ed7024266158982241630048c5b37f248d31","37423605","1699301718","2023-11-06 20:15:18","0x221e25ad7373fbaf33c7078b8666816586222a09","0x222222237c401664d14c615d53e2500d12540d17","","0.002809535123966941","0","0.104070659441094","0.00063","0.0233364284676802","13.08","","","Transfer"
"0x480e7876cfad921390c1345b5f58d87ca3803b0da360bc5829fa3ee14ac57658","37423634","1699301776","2023-11-06 20:16:16","0x222222237c401664d14c615d53e2500d12540d17","0x221e25ad7373fbaf33c7078b8666816586222a09","","0","0.003305785123966942","0.122452727103136","0.0005565","0.0206138451464508","13.08","","","Transfer"
"0xdf7994ecfff02072e16d0aac8cb6d92ef19d27bf81441e3f8e6ef61f53035287","37423653","1699301814","2023-11-06 20:16:54","0x221e25ad7373fbaf33c7078b8666816586222a09","0x222222237c401664d14c615d53e2500d12540d17","","0.001286045623966942","0","0.0476376376347265","0.00063","0.0233364284676802","13.08","","","Transfer"
"0x03cbe28591acac732e8143654c9b21f17e606a5116272ea4fda4d162f9aeaf1e","37443131","1699341435","2023-11-07 07:17:15","0x222222237c401664d14c615d53e2500d12540d17","0xbbe2f004194c5e228c9b434f3847c6f807afe0ab","","0","0.00411522633744856","0.152436008019336","0.0005565","0.0206138451464508","12.82","","","Transfer"
"0xab85b042843d1ed42c8d597293b8104216aee90b38ef8e3387918236fae4d068","37454878","1699365289","2023-11-07 13:54:49","0x222222237c401664d14c615d53e2500d12540d17","0xc730ff9e249d257c689a858204bd5d6c9a47973a","","0","0.008438818565400844","0.312590294925727","0.0005565","0.0206138451464508","12.82","","","Transfer"
"0x6386d03d50da72e84213dd6472240f0c4eadb3f30ad6b8dba98cec74c1d85e08","37455037","1699365613","2023-11-07 14:00:13","0xc730ff9e249d257c689a858204bd5d6c9a47973a","0x222222237c401664d14c615d53e2500d12540d17","","0.006821911065400843","0","0.252696888239052","0.00063","0.0233364284676802","12.82","","","Transfer"
